puissance_max_ptg , margin , season , alpha , beta , gamma , cout_lignes_sans_P2G , cout_lignes_avec_P2G , cout_lignes_evite , cout_transfo_evite , cout_Q_evite, cout_total_evite
3.000000,0.010000,0.000000,0.747000,0.677000,1.144485,69.543740,61.766634,7.777107,3.277673,-0.000000,11.054780
3.000000,0.010000,1.000000,0.484000,0.661000,2.082469,48.093773,46.975448,1.118325,0.426237,0.000000,1.544562
3.000000,0.050000,0.000000,0.614000,0.772000,0.567241,45.693908,43.527718,2.166190,0.377283,0.000000,2.543473
3.000000,0.050000,1.000000,0.378000,0.760000,1.411805,11.710173,10.958578,0.751595,0.346620,0.000000,1.098215
3.000000,0.100000,0.000000,0.534000,0.822000,1.083298,20.547508,13.168025,7.379483,0.328438,0.000000,7.707920
3.000000,0.100000,1.000000,0.323000,0.813000,0.592695,0.000000,0.000000,0.000000,0.284751,0.000000,0.284751
3.000000,0.200000,0.000000,0.435000,0.884000,0.896881,0.000000,0.000000,0.000000,0.262023,0.000000,0.262023
3.000000,0.200000,1.000000,0.260000,0.878000,1.146885,0.000000,0.000000,0.000000,0.238518,0.000000,0.238518
7.500000,0.010000,0.000000,0.747000,0.677000,2.455125,69.543740,68.931908,0.611832,1.275243,0.000000,1.887075
7.500000,0.010000,1.000000,0.484000,0.661000,3.027614,48.093773,45.377410,2.716363,1.040070,0.000000,3.756433
7.500000,0.050000,0.000000,0.614000,0.772000,0.712610,45.693908,43.211220,2.482688,0.297759,0.000000,2.780447
7.500000,0.050000,1.000000,0.378000,0.760000,3.366822,11.710173,10.958578,0.751595,0.791391,0.000000,1.542986
7.500000,0.100000,0.000000,0.534000,0.822000,1.199706,20.547508,12.726740,7.820767,0.818394,0.000000,8.639162
7.500000,0.100000,1.000000,0.323000,0.813000,0.975093,0.000000,0.000000,0.000000,0.702234,0.000000,0.702234
7.500000,0.200000,0.000000,0.435000,0.884000,1.196500,0.000000,0.000000,0.000000,0.645404,0.000000,0.645404
7.500000,0.200000,1.000000,0.260000,0.878000,0.921284,0.000000,0.000000,0.000000,0.571929,0.000000,0.571929
10.000000,0.010000,0.000000,0.747000,0.677000,0.969320,69.543740,67.035923,2.507817,1.825662,0.000000,4.333479
10.000000,0.010000,1.000000,0.484000,0.661000,1.814625,48.093773,44.208502,3.885271,1.400945,0.000000,5.286216
10.000000,0.050000,0.000000,0.614000,0.772000,1.424282,45.693908,42.042312,3.651596,0.720898,0.000000,4.372494
10.000000,0.050000,1.000000,0.378000,0.760000,1.762753,11.710173,10.958578,0.751595,1.035414,0.000000,1.787009
10.000000,0.100000,0.000000,0.534000,0.822000,1.183582,20.547508,21.228805,-0.681297,-1.536221,0.000000,-2.217518
10.000000,0.100000,1.000000,0.323000,0.813000,0.616933,0.000000,0.000000,0.000000,0.928484,0.000000,0.928484
10.000000,0.200000,0.000000,0.435000,0.884000,1.197250,0.000000,0.000000,0.000000,0.852925,0.000000,0.852925
10.000000,0.200000,1.000000,0.260000,0.878000,1.919556,0.000000,0.000000,0.000000,0.742749,0.000000,0.742749
15.000000,0.010000,0.000000,0.747000,0.677000,1.130559,69.543740,61.766634,7.777107,2.942610,0.000000,10.719717
15.000000,0.010000,1.000000,0.484000,0.661000,1.512671,48.093773,44.108857,3.984916,1.979851,0.000000,5.964767
15.000000,0.050000,0.000000,0.614000,0.772000,1.200152,45.693908,41.942667,3.751241,1.338451,0.000000,5.089692
15.000000,0.050000,1.000000,0.378000,0.760000,0.885701,11.710173,0.000000,11.710173,1.568662,0.000000,13.278834
15.000000,0.100000,0.000000,0.534000,0.822000,1.076550,20.547508,21.008163,-0.460655,-1.016245,0.000000,-1.476900
15.000000,0.100000,1.000000,0.323000,0.813000,0.729852,0.000000,0.000000,0.000000,1.366789,0.000000,1.366789
15.000000,0.200000,0.000000,0.435000,0.884000,1.249805,0.000000,0.000000,0.000000,1.254929,0.000000,1.254929
15.000000,0.200000,1.000000,0.260000,0.878000,0.632024,0.000000,0.000000,0.000000,1.048451,0.000000,1.048451
20.000000,0.010000,0.000000,0.747000,0.677000,0.764689,69.543740,57.246748,12.296992,5.847357,-0.000000,18.144349
20.000000,0.010000,1.000000,0.484000,0.661000,0.723395,48.093773,40.958658,7.135115,2.711492,0.000000,9.846607
20.000000,0.050000,0.000000,0.614000,0.772000,0.477584,45.693908,41.157948,4.535960,2.026388,0.000000,6.562348
20.000000,0.050000,1.000000,0.378000,0.760000,1.777756,11.710173,0.000000,11.710173,2.034416,0.000000,13.744588
20.000000,0.100000,0.000000,0.534000,0.822000,1.085046,20.547508,19.884573,0.662935,-0.428249,0.000000,0.234686
20.000000,0.100000,1.000000,0.323000,0.813000,0.739359,0.000000,0.000000,0.000000,1.782923,0.000000,1.782923
20.000000,0.200000,0.000000,0.435000,0.884000,1.410501,0.000000,0.000000,0.000000,1.637478,0.000000,1.637478
20.000000,0.200000,1.000000,0.260000,0.878000,0.504289,0.000000,0.000000,0.000000,1.298488,0.000000,1.298488
25.000000,0.010000,0.000000,0.747000,0.677000,0.974664,69.543740,61.187874,8.355867,4.456643,0.000000,12.812510
25.000000,0.010000,1.000000,0.484000,0.661000,0.907938,48.093773,40.599832,7.493941,3.282732,0.000000,10.776673
25.000000,0.050000,0.000000,0.614000,0.772000,1.083418,45.693908,39.658203,6.035705,2.750677,0.000000,8.786382
25.000000,0.050000,1.000000,0.378000,0.760000,1.133311,11.710173,0.000000,11.710173,2.486309,0.000000,14.196482
25.000000,0.100000,0.000000,0.534000,0.822000,0.804862,20.547508,19.443288,1.104220,0.082262,0.000000,1.186482
25.000000,0.100000,1.000000,0.323000,0.813000,0.988051,0.000000,0.000000,0.000000,2.172373,0.000000,2.172373
25.000000,0.200000,0.000000,0.435000,0.884000,0.959460,0.000000,0.000000,0.000000,1.997767,0.000000,1.997767
25.000000,0.200000,1.000000,0.260000,0.878000,1.285417,0.000000,0.000000,0.000000,4.851220,-0.000000,4.851220
30.000000,0.010000,0.000000,0.747000,0.677000,1.315754,69.543740,58.934096,10.609644,5.319408,0.000000,15.929052
30.000000,0.010000,1.000000,0.484000,0.661000,1.558477,48.093773,40.140737,7.953036,3.853116,0.000000,11.806152
30.000000,0.050000,0.000000,0.614000,0.772000,0.805110,45.693908,34.764424,10.929484,3.720485,0.000000,14.649969
30.000000,0.050000,1.000000,0.378000,0.760000,1.031427,11.710173,0.000000,11.710173,2.921700,0.000000,14.631872
30.000000,0.100000,0.000000,0.534000,0.822000,0.737313,20.547508,12.726740,7.820767,0.589535,0.000000,8.410303
30.000000,0.100000,1.000000,0.323000,0.813000,0.640568,0.000000,0.000000,0.000000,2.529834,0.000000,2.529834
30.000000,0.200000,0.000000,0.435000,0.884000,0.998282,0.000000,0.000000,0.000000,5.905023,-0.000000,5.905023
30.000000,0.200000,1.000000,0.260000,0.878000,1.846057,0.000000,0.000000,0.000000,5.261639,-0.000000,5.261639
40.000000,0.010000,0.000000,0.747000,0.677000,0.824329,69.543740,54.673625,14.870115,7.003274,0.000000,21.873389
40.000000,0.010000,1.000000,0.484000,0.661000,1.160153,48.093773,29.599473,18.494300,5.164597,0.000000,23.658897
40.000000,0.050000,0.000000,0.614000,0.772000,0.944951,45.693908,21.228805,24.465103,5.912734,0.000000,30.377837
40.000000,0.050000,1.000000,0.378000,0.760000,1.563524,11.710173,0.000000,11.710173,3.729892,0.000000,15.440065
40.000000,0.100000,0.000000,0.534000,0.822000,0.760823,20.547508,0.000000,20.547508,5.296163,-0.000000,25.843671
40.000000,0.100000,1.000000,0.323000,0.813000,1.013108,0.000000,0.000000,0.000000,6.152843,-0.000000,6.152843
40.000000,0.200000,0.000000,0.435000,0.884000,1.148761,0.000000,0.000000,0.000000,7.315057,-0.000000,7.315057
40.000000,0.200000,1.000000,0.260000,0.878000,1.553086,0.000000,0.000000,0.000000,6.754784,-0.000000,6.754784
50.000000,0.010000,0.000000,0.747000,0.677000,1.473436,69.543740,45.390397,24.153343,10.825852,-0.000000,34.979196
50.000000,0.010000,1.000000,0.484000,0.661000,1.034970,48.093773,11.710173,36.383601,9.138118,-0.000000,45.521719
50.000000,0.050000,0.000000,0.614000,0.772000,0.687709,45.693908,20.547508,25.146401,6.314358,0.000000,31.460759
50.000000,0.050000,1.000000,0.378000,0.760000,0.743103,11.710173,0.000000,11.710173,7.307784,-0.000000,19.017956
50.000000,0.100000,0.000000,0.534000,0.822000,0.766089,20.547508,0.000000,20.547508,6.878101,-0.000000,27.425609
50.000000,0.100000,1.000000,0.323000,0.813000,2.560450,0.000000,0.000000,0.000000,7.350238,-0.000000,7.350238
50.000000,0.200000,0.000000,0.435000,0.884000,0.856830,0.000000,0.000000,0.000000,9.545294,-0.000000,9.545294
50.000000,0.200000,1.000000,0.260000,0.878000,1.348821,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
60.000000,0.010000,0.000000,0.747000,0.677000,0.952851,69.543740,45.490042,24.053698,10.280440,0.000000,34.334139
60.000000,0.010000,1.000000,0.484000,0.661000,1.426814,48.093773,10.958578,37.135195,10.356362,-0.000000,47.491557
60.000000,0.050000,0.000000,0.614000,0.772000,0.825326,45.693908,10.958578,34.735331,10.227656,-0.000000,44.962986
60.000000,0.050000,1.000000,0.378000,0.760000,0.570691,11.710173,0.000000,11.710173,8.512747,-0.000000,20.222919
60.000000,0.100000,0.000000,0.534000,0.822000,0.699761,20.547508,0.000000,20.547508,9.036931,-0.000000,29.584439
60.000000,0.100000,1.000000,0.323000,0.813000,1.215648,0.000000,0.000000,0.000000,9.343983,-0.000000,9.343983
60.000000,0.200000,0.000000,0.435000,0.884000,0.956455,0.000000,0.000000,0.000000,10.572611,-0.000000,10.572611
60.000000,0.200000,1.000000,0.260000,0.878000,0.924575,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
70.000000,0.010000,0.000000,0.747000,0.677000,1.427960,69.543740,34.908900,34.634841,13.636174,-0.000000,48.271014
70.000000,0.010000,1.000000,0.484000,0.661000,1.123708,48.093773,0.000000,48.093773,11.337293,-0.000000,59.431066
70.000000,0.050000,0.000000,0.614000,0.772000,1.050904,45.693908,0.000000,45.693908,11.453758,-0.000000,57.147666
70.000000,0.050000,1.000000,0.378000,0.760000,1.887172,11.710173,0.000000,11.710173,10.617343,-0.000000,22.327515
70.000000,0.100000,0.000000,0.534000,0.822000,0.817160,20.547508,0.000000,20.547508,10.025306,-0.000000,30.572814
70.000000,0.100000,1.000000,0.323000,0.813000,1.321344,0.000000,0.000000,0.000000,10.756001,-0.000000,10.756001
70.000000,0.200000,0.000000,0.435000,0.884000,1.233193,0.000000,0.000000,0.000000,11.774134,-0.000000,11.774134
70.000000,0.200000,1.000000,0.260000,0.878000,0.907115,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
80.000000,0.010000,0.000000,0.747000,0.677000,1.055625,69.543740,34.908900,34.634841,13.359572,0.000000,47.994412
80.000000,0.010000,1.000000,0.484000,0.661000,0.627295,48.093773,0.000000,48.093773,12.852783,-0.000000,60.946556
80.000000,0.050000,0.000000,0.614000,0.772000,0.749660,45.693908,0.000000,45.693908,12.395677,-0.000000,58.089585
80.000000,0.050000,1.000000,0.378000,0.760000,1.042842,11.710173,0.000000,11.710173,11.973932,-0.000000,23.684104
80.000000,0.100000,0.000000,0.534000,0.822000,1.198758,20.547508,0.000000,20.547508,11.243401,-0.000000,31.790909
80.000000,0.100000,1.000000,0.323000,0.813000,2.812845,0.000000,0.000000,0.000000,12.129955,-0.000000,12.129955
80.000000,0.200000,0.000000,0.435000,0.884000,0.845870,0.000000,0.000000,0.000000,13.264860,-0.000000,13.264860
80.000000,0.200000,1.000000,0.260000,0.878000,1.077811,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
90.000000,0.010000,0.000000,0.747000,0.677000,0.979507,69.543740,33.133783,36.409958,14.671960,0.000000,51.081918
90.000000,0.010000,1.000000,0.484000,0.661000,0.461530,48.093773,0.000000,48.093773,14.857853,-0.000000,62.951626
90.000000,0.050000,0.000000,0.614000,0.772000,0.895672,45.693908,0.000000,45.693908,13.603741,-0.000000,59.297649
90.000000,0.050000,1.000000,0.378000,0.760000,0.487789,11.710173,0.000000,11.710173,13.402789,-0.000000,25.112962
90.000000,0.100000,0.000000,0.534000,0.822000,1.234831,20.547508,0.000000,20.547508,12.736198,-0.000000,33.283705
90.000000,0.100000,1.000000,0.323000,0.813000,0.701024,0.000000,0.000000,0.000000,12.373121,-0.000000,12.373121
90.000000,0.200000,0.000000,0.435000,0.884000,1.025442,0.000000,0.000000,0.000000,14.380929,-0.000000,14.380929
90.000000,0.200000,1.000000,0.260000,0.878000,0.804277,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
100.000000,0.010000,0.000000,0.747000,0.677000,1.079161,69.543740,23.973658,45.570083,16.122397,0.000000,61.692480
100.000000,0.010000,1.000000,0.484000,0.661000,0.786525,48.093773,0.000000,48.093773,16.144665,-0.000000,64.238438
100.000000,0.050000,0.000000,0.614000,0.772000,1.130863,45.693908,0.000000,45.693908,15.118989,-0.000000,60.812897
100.000000,0.050000,1.000000,0.378000,0.760000,1.344128,11.710173,0.000000,11.710173,12.837677,-0.000000,24.547850
100.000000,0.100000,0.000000,0.534000,0.822000,1.536772,20.547508,0.000000,20.547508,14.324080,-0.000000,34.871588
100.000000,0.100000,1.000000,0.323000,0.813000,0.925289,0.000000,0.000000,0.000000,12.373121,-0.000000,12.373121
100.000000,0.200000,0.000000,0.435000,0.884000,0.584659,0.000000,0.000000,0.000000,15.285605,-0.000000,15.285605
100.000000,0.200000,1.000000,0.260000,0.878000,0.714741,0.000000,0.000000,0.000000,8.012261,-0.000000,8.012261
